sgRNA	gene	3980STDY6393091.sample	ERS717283.plasmid
CNST_CCDS1628.1_ex3_1:246797289-246797312:+_5-3	CNST	216	184
GJC3_CCDS34697.1_ex1_7:99526769-99526792:+_5-2	GJC3	269	433
RASSF1_CCDS2820.1_ex2_3:50369085-50369108:-_5-2	RASSF1	310	354
ANKRD36_CCDS54379.1_ex19_2:97830184-97830207:+_5-5	ANKRD36	94	175
EIF5AL1_CCDS53546.1_ex0_10:81272561-81272584:+_5-3	EIF5AL1	496	524
CAPN5_CCDS8248.1_ex4_11:76826469-76826492:-_5-4	CAPN5	485	708
NR2F2_CCDS10375.1_ex1_15:96877560-96877583:-_5-4	NR2F2	1172	1173
MXRA5_CCDS14124.1_ex2_X:3240267-3240290:+_5-1	MXRA5	471	354
COG2_CCDS1584.1_ex6_1:230805210-230805233:-_5-5	COG2	231	610
CDON_CCDS58192.1_ex14_11:125887060-125887083:-_5-4	CDON	986	706
TRPM8_CCDS33407.1_ex3_2:234847802-234847825:+_5-2	TRPM8	763	578
NR4A2_CCDS2201.1_ex5_2:157186254-157186277:+_5-3	NR4A2	367	540
MAPK15_CCDS6409.2_ex5_8:144801257-144801280:-_5-4	MAPK15	419	542
LAMTOR3_CCDS3652.1_ex2_4:100806792-100806815:-_5-5	LAMTOR3	300	402
ALDH1L1_CCDS3034.1_ex21_3:125879694-125879717:-_5-5	ALDH1L1	202	267
LYPD6B_CCDS46423.1_ex3_2:150064854-150064877:+_5-4	LYPD6B	314	195
FIBP_CCDS8118.1_ex8_11:65655403-65655426:-_5-3	FIBP	406	408
LCMT1_CCDS45445.1_ex2_16:25143717-25143740:-_5-3	LCMT1	223	113
TMPRSS11F_CCDS3520.1_ex5_4:68938036-68938059:+_5-2	TMPRSS11F	299	50
PPAP2C_CCDS12023.1_ex1_19:282291-282314:+_5-1	PPAP2C	131	484
TMEM209_CCDS47712.1_ex10_7:129841811-129841834:+_5-4	TMEM209	6	24
C15orf52_CCDS10055.2_ex5_15:40630025-40630048:-_5-1	C15orf52	494	433
C1QTNF3_CCDS34141.1_ex4_5:34035786-34035809:-_5-3	C1QTNF3	663	566
KSR2_CCDS61250.1_ex16_12:118199100-118199123:-_5-3	KSR2	584	786
TMED10_CCDS9840.1_ex4_14:75643143-75643166:-_5-5	TMED10	182	944
