sgRNA	gene	CRISPR_C7448913.sample	CRISPR_C6596666.sample
CNST_CCDS1628.1_ex3_1:246797289-246797312:+_5-3	CNST	403	288
GJC3_CCDS34697.1_ex1_7:99526769-99526792:+_5-2	GJC3	318	505
RASSF1_CCDS2820.1_ex2_3:50369085-50369108:-_5-2	RASSF1	409	564
ANKRD36_CCDS54379.1_ex19_2:97830184-97830207:+_5-5	ANKRD36	42	182
EIF5AL1_CCDS53546.1_ex0_10:81272561-81272584:+_5-3	EIF5AL1	604	577
CAPN5_CCDS8248.1_ex4_11:76826469-76826492:-_5-4	CAPN5	776	693
NR2F2_CCDS10375.1_ex1_15:96877560-96877583:-_5-4	NR2F2	711	772
sgPIK3CG_7	PIK3CG_LS	277	561
MXRA5_CCDS14124.1_ex2_X:3240267-3240290:+_5-1	MXRA5	292	540
COG2_CCDS1584.1_ex6_1:230805210-230805233:-_5-5	COG2	337	548
CDON_CCDS58192.1_ex14_11:125887060-125887083:-_5-4	CDON	496	693
TRPM8_CCDS33407.1_ex3_2:234847802-234847825:+_5-2	TRPM8	520	713
NR4A2_CCDS2201.1_ex5_2:157186254-157186277:+_5-3	NR4A2	308	515
MAPK15_CCDS6409.2_ex5_8:144801257-144801280:-_5-4	MAPK15	437	564
LAMTOR3_CCDS3652.1_ex2_4:100806792-100806815:-_5-5	LAMTOR3	277	533
sgNTRK1_9	NTRK1_LS	513	598
ALDH1L1_CCDS3034.1_ex21_3:125879694-125879717:-_5-5	ALDH1L1	122	287
LYPD6B_CCDS46423.1_ex3_2:150064854-150064877:+_5-4	LYPD6B	86	279
FIBP_CCDS8118.1_ex8_11:65655403-65655426:-_5-3	FIBP	533	448
LCMT1_CCDS45445.1_ex2_16:25143717-25143740:-_5-3	LCMT1	99	206
sgPOLN_9	POLN_LS	164	354
TMPRSS11F_CCDS3520.1_ex5_4:68938036-68938059:+_5-2	TMPRSS11F	125	226
PPAP2C_CCDS12023.1_ex1_19:282291-282314:+_5-1	PPAP2C	307	351
TMEM209_CCDS47712.1_ex10_7:129841811-129841834:+_5-4	TMEM209	0	26
C15orf52_CCDS10055.2_ex5_15:40630025-40630048:-_5-1	C15orf52	209	491
C1QTNF3_CCDS34141.1_ex4_5:34035786-34035809:-_5-3	C1QTNF3	726	512
KSR2_CCDS61250.1_ex16_12:118199100-118199123:-_5-3	KSR2	773	668
TMED10_CCDS9840.1_ex4_14:75643143-75643166:-_5-5	TMED10	426	762
MICA_CCDS56412.1_ex1_6:31378499-31378522:+_5-2	MICA	663	467
CHI3L2_CCDS30802.1_ex5_1:111778358-111778381:+_5-2	CHI3L2	60	213
MAP7_CCDS5178.1_ex11_6:136698934-136698957:+_5-5	MAP7	415	592
NOLC1_CCDS65925.1_ex0_10:103912260-103912283:+_5-1	NOLC1	273	317
CTRL00019	NON-TARGETING	209	277
ETV5_CCDS33906.1_ex5_3:185783603-185783626:+_5-1	ETV5	257	385
SSX2_CCDS14344.1_ex4_X:52734214-52734237:+_5-5	SSX2	89	316
MCM4_CCDS6143.1_ex4_8:48875397-48875420:+_5-4	MCM4	11	407
DDA1_CCDS12357.1_ex3_19:17426782-17426805:+_5-5	DDA1	146	333
CCDC97_CCDS12578.1_ex2_19:41825518-41825541:-_5-5	CCDC97	90	353
HMBS_CCDS41726.1_ex6_11:118960938-118960961:+_5-3	HMBS	394	512
APLN_CCDS48165.1_ex0_X:128782683-128782706:-_4-2	APLN	102	308
LIMK1_CCDS5563.1_ex3_7:73511459-73511482:+_5-1	LIMK1	518	504
sgKIF2B_10	KIF2B_LS	226	191
EFEMP1_CCDS1857.1_ex7_2:56145001-56145024:+_5-4	EFEMP1	359	594
TUBA3D_CCDS33290.1_ex3_2:132237930-132237953:-_5-5	TUBA3D	362	714
TMEM214_CCDS42664.1_ex7_2:27259968-27259991:+_5-5	TMEM214	642	707
C7orf25_CCDS47576.1_ex0_7:42950129-42950152:-_5-3	C7orf25	280	504
sgABCF2_8	ABCF2_LS	170	157
EPB41_CCDS330.1_ex4_1:29344891-29344914:+_5-5	EPB41	644	562
SLCO2B1_CCDS44683.1_ex4_11:74880765-74880788:-_5-2	SLCO2B1	251	615
sgMED17_3	MED17_LS	34	96
TMEM217_CCDS4831.1_ex1_6:37186419-37186442:-_5-1	TMEM217	275	609
TMEM184B_CCDS13969.2_ex5_22:38627334-38627357:-_5-4	TMEM184B	666	748
PAOX_CCDS7682.1_ex1_10:135193946-135193969:+_5-5	PAOX	559	628
RAB7L1_CCDS1459.1_ex1_1:205739949-205739972:+_6-3	RAB7L1	557	601
LACRT_CCDS8883.1_ex2_12:55026009-55026032:+_5-1	LACRT	349	366
FOXO3_CCDS5068.1_ex0_6:108882628-108882651:-_5-1	FOXO3	646	857
UBR4_CCDS189.1_ex58_1:19478236-19478259:+_5-1	UBR4	93	253
RAB28_CCDS33961.1_ex5_4:13481083-13481106:-_5-4	RAB28	39	100
sgPSMC5_4	PSMC5_LS	96	508
PID1_CCDS2471.1_ex0_2:229890743-229890766:-_5-3	PID1	584	600
CTRL00102	NON-TARGETING	267	222
TRPC6_CCDS8311.1_ex11_11:101374800-101374823:+_5-2	TRPC6	186	510
sgPSMD11_10	PSMD11_LS	69	448
LILRA5_CCDS12888.1_ex2_19:54822816-54822839:-_8-3	LILRA5	428	444
BUD31_CCDS5663.1_ex1_7:99013871-99013894:-_5-5	BUD31	53	299
C14orf182_CCDS41949.1_ex2_14:50472305-50472328:+_5-1	C14orf182	231	331
GAPVD1_CCDS65130.1_ex5_9:128074743-128074766:+_5-5	GAPVD1	313	430
NEB_CCDS46424.1_ex116_2:152534211-152534234:+_5-3	NEB	274	278
sgCDK20_9	CDK20_LS	364	620
C1orf234_CCDS57978.1_ex1_1:23340416-23340439:-_5-5	C1orf234	389	490
EIF3B_CCDS5332.1_ex1_7:2400421-2400444:-_5-2	EIF3B	61	821
ZNF727_CCDS55113.1_ex2_7:63529965-63529988:+_5-3	ZNF727	44	472
sgTRIB1_1	TRIB1_LS	455	473
ERV3-1_CCDS47595.1_ex0_7:64452648-64452671:+_5-2	ERV3-1	496	843
ITPKB_CCDS1555.1_ex6_1:226924645-226924668:-_5-3	ITPKB	602	759
MRPL19_CCDS1960.2_ex1_2:75874324-75874347:-_5-3	MRPL19	297	458
PMM2_CCDS10536.1_ex2_16:8898658-8898681:+_5-2	PMM2	58	193
MDN1_CCDS5024.1_ex99_6:90504424-90504447:+_5-5	MDN1	104	324
METTL7A_CCDS8804.1_ex0_12:51319003-51319026:-_5-3	METTL7A	305	738
NGRN_CCDS32329.1_ex1_15:90809515-90809538:-_5-1	NGRN	421	642
ECM1_CCDS55632.1_ex2_1:150482163-150482186:-_5-1	ECM1	269	666
KCNH1_CCDS1496.1_ex4_1:211093319-211093342:-_5-4	KCNH1	87	134
HYAL3_CCDS2815.1_ex2_3:50332126-50332149:+_14-8	HYAL3	513	581
GRIK5_CCDS12595.1_ex10_19:42558039-42558062:+_5-2	GRIK5	262	557
CEACAM1_CCDS12609.1_ex7_19:43031417-43031440:+_10-8	CEACAM1	182	494
VDAC1_CCDS4168.1_ex3_5:133316582-133316605:-_5-3	VDAC1	154	673
USP38_CCDS3758.1_ex3_4:144119059-144119082:-_5-5	USP38	230	343
TMTC3_CCDS9032.1_ex5_12:88560236-88560259:-_5-4	TMTC3	34	67
sgUBE2G1_7	UBE2G1_LS	233	213
GOLGA4_CCDS2666.1_ex2_3:37323634-37323657:-_5-2	GOLGA4	263	320
RNASE3_CCDS9560.1_ex0_14:21359924-21359947:-_5-1	RNASE3	342	487
ELMO1_CCDS5449.1_ex3_7:36917659-36917682:+_10-2	ELMO1	334	352
sgKRAS_6	KRAS_LS	454	262
MGARP_CCDS43269.1_ex0_4:140187976-140187999:-_5-1	MGARP	210	405
FAM163B_CCDS35171.1_ex0_9:136444291-136444314:-_5-1	FAM163B	494	796
CYTIP_CCDS2204.1_ex7_2:158300384-158300407:-_5-4	CYTIP	311	647
SF1_CCDS31599.1_ex9_11:64537847-64537870:+_5-4	SF1	77	796
TMEM14E_CCDS43161.1_ex0_3:152058480-152058503:-_5-1	TMEM14E	311	400
EHD3_CCDS1774.1_ex1_2:31467272-31467295:-_5-3	EHD3	184	270
AXDND1_CCDS30948.1_ex6_1:179352622-179352645:+_5-3	AXDND1	239	359
FAM198B_CCDS34087.1_ex4_4:159091789-159091812:+_5-1	FAM198B	723	672
ENDOD1_CCDS41699.1_ex1_11:94861773-94861796:-_5-4	ENDOD1	856	783
HRAS_CCDS7698.1_ex1_11:533568-533591:-_5-1	HRAS	479	750
NGLY1_CCDS33719.1_ex9_3:25805551-25805574:+_5-4	NGLY1	349	455
LTBP2_CCDS9831.1_ex35_14:75078535-75078558:-_5-5	LTBP2	470	542
NGFR_CCDS11549.1_ex3_17:47587777-47587800:-_5-5	NGFR	297	377
MPP2_CCDS11471.1_ex5_17:41958700-41958723:-_5-1	MPP2	243	539
sgCSNK1E_2	CSNK1E_LS	360	294
RAPH1_CCDS2359.1_ex10_2:204354528-204354551:+_5-4	RAPH1	167	168
sgCARM1_10	CARM1_LS	55	443
ZNF655_CCDS34695.1_ex0_7:99158293-99158316:+_11-2	ZNF655	543	635
SCARA5_CCDS6064.1_ex6_8:27823987-27824010:+_5-4	SCARA5	1187	869
PPP1R3C_CCDS7416.1_ex0_10:93390201-93390224:+_5-2	PPP1R3C	302	436
sgMECP2_1	MECP2_LS	291	286
SSH2_CCDS11253.1_ex9_17:28004708-28004731:+_5-4	SSH2	355	630
TRPC4_CCDS45035.1_ex7_13:38266135-38266158:-_5-1	TRPC4	319	366
SEMA4D_CCDS47991.1_ex13_9:92011678-92011701:+_5-5	SEMA4D	246	374
RIC3_CCDS44533.1_ex1_11:8190437-8190460:+_5-5	RIC3	247	621
DCT_CCDS45060.1_ex7_13:95118832-95118855:+_5-1	DCT	702	592
STAG3_CCDS34703.1_ex0_7:99778271-99778294:+_5-1	STAG3	281	405
PIWIL1_CCDS9268.1_ex9_12:130839480-130839503:-_5-5	PIWIL1	197	207
CDH2_CCDS11891.1_ex11_18:25589786-25589809:-_5-4	CDH2	228	297
RUSC1_CCDS1112.1_ex2_1:155295182-155295205:-_5-4	RUSC1	1178	966
VPS4A_CCDS45517.1_ex1_16:69350005-69350028:-_5-1	VPS4A	461	601
PSMA3_CCDS45113.1_ex5_14:58727720-58727743:-_5-5	PSMA3	60	232
RNF207_CCDS59.2_ex2_1:6268952-6268975:+_5-1	RNF207	301	420
NEDD8_CCDS9621.1_ex1_14:24687393-24687416:-_3-3	NEDD8	76	437
DAAM1_CCDS58323.1_ex4_14:59789925-59789948:+_5-2	DAAM1	249	476
RNF43_CCDS11607.1_ex7_17:56448346-56448369:+_5-5	RNF43	194	328
ZBTB43_CCDS6867.1_ex0_9:129595348-129595371:-_5-4	ZBTB43	548	626
GCNT3_CCDS10172.1_ex0_15:59910583-59910606:-_5-1	GCNT3	181	184
HOXD1_CCDS2271.1_ex0_2:177053786-177053809:-_5-2	HOXD1	560	677
AJAP1_CCDS54.1_ex1_1:4772216-4772239:+_5-2	AJAP1	403	521
BBC3_CCDS12697.1_ex2_19:47731666-47731689:-_18-17	BBC3	478	704
CHCHD7_CCDS55232.1_ex2_8:57128958-57128981:-_9-3	CHCHD7	48	109
sgCDK6_9	CDK6_LS	262	491
BROX_CCDS1534.1_ex6_1:222900526-222900549:+_5-3	BROX	43	173
CLEC4D_CCDS8593.1_ex3_12:8671644-8671667:-_5-3	CLEC4D	274	339
sgDHX30_6	DHX30_LS	137	333
CTRL00662	NON-TARGETING	291	368
sgCSK_3	CSK_LS	275	396
CRHR1_CCDS42350.1_ex6_17:43907898-43907921:-_5-3	CRHR1	466	518
NMU_CCDS3501.1_ex7_4:56496605-56496628:-_5-5	NMU	171	211
GORASP2_CCDS33325.1_ex5_2:171811199-171811222:+_5-3	GORASP2	462	553
ZBTB9_CCDS4780.1_ex0_6:33423148-33423171:+_5-3	ZBTB9	539	647
sgSUPT7L_1	SUPT7L_LS	234	451
PLEK2_CCDS9782.1_ex7_14:67864464-67864487:-_5-5	PLEK2	172	371
sgRAD54B_4	RAD54B_LS	280	253
FOXK1_CCDS34591.1_ex3_7:4794988-4795011:+_5-5	FOXK1	647	707
CD8A_CCDS1992.1_ex4_2:87017695-87017718:-_5-4	CD8A	316	710
SLC16A5_CCDS11713.1_ex2_17:73096174-73096197:+_5-3	SLC16A5	609	869
MUC4_CCDS54700.1_ex23_3:195515613-195515636:+_10-6	MUC4	788	735
