sgRNA	gene	9606.sample	CRISPR_C6596666.sample
RAB40B_CCDS11816.1_ex2_17:80617473-80617496:-_5-2	RAB40B	234	387
sgPOMP_5	POMP_LS	368	553
sgEPHB2_5	EPHB2_LS	376	284
ALG13_CCDS14559.1_ex1_X:110925394-110925417:+_11-2	ALG13	221	371
CXorf65_CCDS35324.1_ex2_X:70324679-70324702:-_5-2	CXorf65	486	486
JRKL_CCDS8308.1_ex0_11:96124392-96124415:+_5-3	JRKL	398	249
UFM1_CCDS66533.1_ex3_13:38933424-38933447:+_7-6	UFM1	51	114
MC3R_CCDS13449.2_ex0_20:54824438-54824461:+_5-5	MC3R	242	253
KIR2DL4_CCDS42619.1_ex3_19:55317623-55317646:+_6-6	KIR2DL4	490	423
HOXD1_CCDS2271.1_ex0_2:177053918-177053941:+_5-4	HOXD1	1125	693
ZNF419_CCDS42637.1_ex3_19:58004583-58004606:+_6-6	ZNF419	595	500
PIK3C2B_CCDS1446.1_ex27_1:204429662-204429685:+_5-2	PIK3C2B	487	369
PTPN6_CCDS41744.1_ex2_12:7061163-7061186:-_5-2	PTPN6	547	344
CTRL00353	NON-TARGETING	498	357
C6orf52_CCDS47371.1_ex2_6:10687369-10687392:+_5-5	C6orf52	410	353
MYBPC2_CCDS46152.1_ex11_19:50949254-50949277:+_5-3	MYBPC2	292	286
N4BP2L1_CCDS41877.1_ex3_13:32981860-32981883:+_5-2	N4BP2L1	187	287
BTBD18_CCDS44603.1_ex0_11:57513227-57513250:+_5-2	BTBD18	386	485
TMEM126B_CCDS53686.1_ex2_11:85346778-85346801:-_5-5	TMEM126B	105	89
sgRNF2_9	RNF2_LS	382	357
CHRNA5_CCDS10304.1_ex2_15:78878999-78879022:+_5-1	CHRNA5	168	274
SDC1_CCDS1697.1_ex1_2:20402958-20402981:-_5-2	SDC1	659	504
CYFIP1_CCDS10009.1_ex16_15:22960867-22960890:+_5-2	CYFIP1	405	474
PRDM12_CCDS6934.1_ex1_9:133542121-133542144:+_5-3	PRDM12	689	668
THADA_CCDS46268.1_ex28_2:43804324-43804347:+_5-5	THADA	646	653
C22orf26_CCDS14071.1_ex1_22:46449723-46449746:+_5-1	C22orf26	706	726
sgPSME1_4	PSME1_LS	247	228
sgUBA52_7	UBA52_LS	8	565
TLE3_CCDS45293.1_ex12_15:70356777-70356800:+_5-4	TLE3	931	606
DCUN1D1_CCDS3240.1_ex5_3:182683323-182683346:-_5-3	DCUN1D1	62	66
KPNA6_CCDS352.1_ex7_1:32627555-32627578:-_5-3	KPNA6	710	446
sgSIRT5_8	SIRT5_LS	82	448
TDRD10_CCDS30878.2_ex4_1:154493884-154493907:+_5-3	TDRD10	305	253
RARG_CCDS41790.1_ex2_12:53607447-53607470:-_5-1	RARG	333	505
PLXND1_CCDS33854.1_ex35_3:129324828-129324851:+_5-4	PLXND1	675	695
RPL36AL_CCDS9689.1_ex0_14:50085708-50085731:-_5-5	RPL36AL	507	641
XRCC6_CCDS14021.1_ex3_22:42032636-42032659:-_5-2	XRCC6	25	388
sgTSSK3_6	TSSK3_LS	244	375
KLC2_CCDS44653.1_ex2_11:66030490-66030513:+_5-3	KLC2	416	513
CCDC64B_CCDS45393.1_ex4_16:3079723-3079746:+_5-2	CCDC64B	792	997
MYL1_CCDS2390.1_ex3_2:211163220-211163243:-_5-5	MYL1	604	574
SLC18A2_CCDS7599.1_ex1_10:119003802-119003825:+_5-2	SLC18A2	673	548
SPANXA2_CCDS44007.1_ex1_X:140678714-140678737:+_2-1	SPANXA2	248	198
KIF3A_CCDS34235.1_ex14_5:132062055-132062078:-_5-5	KIF3A	441	513
TNNC2_CCDS13375.1_ex3_20:44453211-44453234:-_5-5	TNNC2	592	579
NUDT4_CCDS44952.1_ex3_12:93792589-93792612:+_5-5	NUDT4	77	85
sgZAP70_3	ZAP70_LS	257	304
sgUHMK1_6	UHMK1_LS	315	250
C1orf146_CCDS30772.1_ex3_1:92710338-92710361:-_5-4	C1orf146	114	113
SLC30A2_CCDS272.1_ex3_1:26369106-26369129:+_5-1	SLC30A2	893	696
FAR1_CCDS7813.1_ex4_11:13733334-13733357:-_5-5	FAR1	472	334
LMTK3_CCDS46136.1_ex4_19:49002931-49002954:+_5-2	LMTK3	544	592
CCBL1_CCDS43884.1_ex8_9:131600377-131600400:+_5-3	CCBL1	384	373
GANAB_CCDS41656.1_ex20_11:62402359-62402382:+_5-5	GANAB	525	479
MYBBP1A_CCDS11046.1_ex18_17:4455182-4455205:+_5-3	MYBBP1A	418	605
PRPF19_CCDS7995.1_ex9_11:60668995-60669018:+_5-3	PRPF19	10	384
TM9SF2_CCDS9493.1_ex5_13:100190074-100190097:-_5-3	TM9SF2	649	533
ZBTB8A_CCDS30664.1_ex0_1:33058722-33058745:-_5-2	ZBTB8A	851	537
SGSM2_CCDS32526.1_ex6_17:2266758-2266781:+_5-4	SGSM2	647	542
PTX3_CCDS3180.1_ex1_3:157155397-157155420:-_5-3	PTX3	805	807
PSPN_CCDS12164.1_ex0_19:6375582-6375605:+_5-3	PSPN	713	882
TRIP12_CCDS33391.1_ex36_2:230701647-230701670:-_5-4	TRIP12	685	629
ZNF790_CCDS12496.1_ex0_19:37310890-37310913:+_5-4	ZNF790	194	70
FRAS1_CCDS54771.1_ex1_4:78987159-78987182:-_5-1	FRAS1	627	454
CCDC97_CCDS12578.1_ex1_19:41822690-41822713:+_5-4	CCDC97	254	536
INTS5_CCDS8027.1_ex0_11:62416975-62416998:+_5-3	INTS5	159	379
MRPS22_CCDS3107.1_ex2_3:139067049-139067072:-_5-3	MRPS22	341	503
RPAIN_CCDS32536.1_ex1_17:5324650-5324673:+_7-2	RPAIN	9	487
MYH11_CCDS10565.1_ex38_16:15917183-15917206:-_5-5	MYH11	216	268
ATG5_CCDS5055.1_ex3_6:106727546-106727569:-_6-4	ATG5	283	314
ZNF524_CCDS12929.1_ex0_19:56113596-56113619:-_5-1	ZNF524	392	587
FAM134A_CCDS2434.1_ex5_2:220045804-220045827:-_5-3	FAM134A	465	360
SLC31A1_CCDS6789.1_ex2_9:116021094-116021117:-_5-5	SLC31A1	380	517
PKNOX1_CCDS13692.1_ex5_21:44438292-44438315:+_5-4	PKNOX1	315	506
sgWHSC1_7	WHSC1_LS	444	475
RAB43_CCDS33850.1_ex1_3:128813876-128813899:+_5-1	RAB43	493	578
MYOT_CCDS4194.1_ex5_5:137219090-137219113:-_5-4	MYOT	192	223
CAPS_CCDS12156.1_ex1_19:5914577-5914600:+_5-1	CAPS	653	530
C11orf58_CCDS7822.1_ex2_11:16769634-16769657:+_5-2	C11orf58	47	19
SRCIN1_CCDS45660.1_ex17_17:36734817-36734840:+_5-5	SRCIN1	349	627
ELF2_CCDS3744.1_ex5_4:139994634-139994657:+_5-5	ELF2	251	278
LRRC25_CCDS12377.1_ex1_19:18507468-18507491:-_5-4	LRRC25	1046	676
TOR2A_CCDS43879.1_ex4_9:130497388-130497411:+_6-3	TOR2A	786	914
DUSP13_CCDS31224.1_ex2_10:76857458-76857481:+_13-5	DUSP13	215	341
FAM122B_CCDS14643.1_ex7_X:133927834-133927857:+_5-4	FAM122B	365	341
PLA1A_CCDS2991.1_ex5_3:119334860-119334883:+_5-2	PLA1A	420	378
TMEM71_CCDS47921.1_ex5_8:133764164-133764187:+_5-4	TMEM71	371	611
IFNL1_CCDS12531.1_ex1_19:39787491-39787514:-_5-4	IFNL1	729	527
sgHNRNPA1_10	HNRNPA1_LS	149	417
CDK8_CCDS9317.1_ex2_13:26923312-26923335:-_5-2	CDK8	463	379
LIN9_CCDS1553.1_ex7_1:226455766-226455789:-_5-1	LIN9	192	298
WDR86_CCDS5925.2_ex3_7:151092927-151092950:+_5-2	WDR86	938	936
TMEM237_CCDS46489.1_ex8_2:202501540-202501563:+_5-5	TMEM237	570	506
SNX8_CCDS5331.1_ex7_7:2311516-2311539:+_5-2	SNX8	577	686
SSX2IP_CCDS53337.1_ex4_1:85122149-85122172:-_5-1	SSX2IP	236	219
PCCB_CCDS3089.1_ex5_3:136002756-136002779:-_5-5	PCCB	372	620
AVPR1A_CCDS8965.1_ex1_12:63544473-63544496:+_5-5	AVPR1A	375	636
GUSB_CCDS5530.1_ex5_7:65439524-65439547:-_5-1	GUSB	594	785
ORC4_CCDS2187.1_ex6_2:148710050-148710073:+_5-4	ORC4	10	110
SLCO2A1_CCDS3084.1_ex7_3:133667733-133667756:+_5-1	SLCO2A1	197	253
THAP5_CCDS34734.2_ex0_7:108205392-108205415:+_5-4	THAP5	263	271
sgL3MBTL1_6	L3MBTL1_LS	218	226
HBG1_CCDS7754.1_ex1_11:5270678-5270701:+_1-1	HBG1	663	683
DYRK1A_CCDS13653.1_ex1_21:38845100-38845123:-_5-1	DYRK1A	902	799
sgTARBP2_1	TARBP2_LS	292	316
AP2A1_CCDS46148.1_ex10_19:50303358-50303381:+_5-5	AP2A1	361	423
POPDC2_CCDS2992.1_ex2_3:119373360-119373383:-_5-1	POPDC2	467	476
BDKRB2_CCDS9942.1_ex1_14:96706771-96706794:-_5-1	BDKRB2	173	238
RABL5_CCDS47670.1_ex1_7:100959737-100959760:-_9-6	RABL5	794	628
TNFSF15_CCDS6809.1_ex0_9:117553012-117553035:+_5-1	TNFSF15	969	684
CAMP_CCDS2762.2_ex0_3:48265089-48265112:-_5-1	CAMP	408	450
WNT3_CCDS11505.1_ex1_17:44847310-44847333:+_5-3	WNT3	738	777
PTEN_CCDS31238.1_ex3_10:89690824-89690847:+_5-2	PTEN	790	271
FDFT1_CCDS5985.1_ex3_8:11679306-11679329:+_5-4	FDFT1	570	601
KIT_CCDS3496.1_ex1_4:55561753-55561776:-_5-1	KIT	532	635
EPHX3_CCDS12327.1_ex4_19:15342132-15342155:-_5-2	EPHX3	623	592
POU4F3_CCDS4281.1_ex1_5:145719382-145719405:-_5-4	POU4F3	742	704
ZNF296_CCDS12653.1_ex0_19:45575715-45575738:-_5-2	ZNF296	430	491
KRT8_CCDS58234.1_ex4_12:53294386-53294409:+_5-1	KRT8	119	458
CNTNAP2_CCDS5889.1_ex3_7:146741033-146741056:-_5-1	CNTNAP2	451	658
PPAP2C_CCDS12023.1_ex3_19:287586-287609:+_5-3	PPAP2C	284	231
FGF1_CCDS4275.1_ex2_5:141993546-141993569:+_5-3	FGF1	401	423
TRIM60_CCDS3808.1_ex0_4:165961430-165961453:-_5-3	TRIM60	465	468
MLST8_CCDS10462.2_ex4_16:2257213-2257236:-_5-5	MLST8	301	603
KLK10_CCDS12817.1_ex3_19:51520414-51520437:+_5-4	KLK10	654	671
PIGH_CCDS9784.1_ex3_14:68066824-68066847:+_5-5	PIGH	226	450
CYP27B1_CCDS8954.1_ex7_12:58159910-58159933:-_5-4	CYP27B1	589	587
ALG12_CCDS14081.1_ex7_22:50307101-50307124:+_5-5	ALG12	449	552
SDHAF2_CCDS8007.1_ex1_11:61205202-61205225:+_5-2	SDHAF2	681	540
sgDDX19A_9	DDX19A_LS	467	533
ZNF185_CCDS48184.1_ex15_X:152113809-152113832:+_10-8	ZNF185	338	230
CD33_CCDS33084.1_ex3_19:51729584-51729607:+_9-8	CD33	276	245
STAB1_CCDS33768.1_ex8_3:52537869-52537892:-_5-1	STAB1	507	869
MAPK15_CCDS6409.2_ex5_8:144801304-144801327:+_5-5	MAPK15	353	493
FAU_CCDS8095.1_ex2_11:64889030-64889053:+_5-4	FAU	83	547
YWHAE_CCDS11001.1_ex3_17:1265211-1265234:-_5-1	YWHAE	148	662
sgCAMKK1_1	CAMKK1_LS	585	590
TMEM41A_CCDS3271.1_ex2_3:185212958-185212981:-_5-1	TMEM41A	83	124
MAGEB1_CCDS14222.1_ex0_X:30269184-30269207:+_5-5	MAGEB1	331	294
WWTR1_CCDS3144.1_ex5_3:149374930-149374953:+_5-4	WWTR1	482	563
ACBD6_CCDS1339.1_ex5_1:180461412-180461435:-_5-1	ACBD6	231	162
PFKL_CCDS33582.1_ex4_21:45732887-45732910:-_5-1	PFKL	689	735
CBLB_CCDS2948.1_ex12_3:105459435-105459458:-_5-3	CBLB	472	494
MFSD2B_CCDS46228.1_ex3_2:24239783-24239806:-_5-3	MFSD2B	453	576
CTRL00769	NON-TARGETING	639	482
SLC51A_CCDS3314.1_ex2_3:195953843-195953866:-_5-1	SLC51A	436	387
SPG21_CCDS10198.1_ex6_15:65273289-65273312:+_5-4	SPG21	612	497
PCGF5_CCDS7413.1_ex1_10:93000320-93000343:+_5-2	PCGF5	142	145
THTPA_CCDS32053.1_ex0_14:24026190-24026213:-_8-7	THTPA	437	407
SCN4A_CCDS45761.1_ex20_17:62049136-62049159:+_5-3	SCN4A	708	629
ZNF17_CCDS42636.1_ex2_19:57931347-57931370:+_5-3	ZNF17	335	387
ITK_CCDS4336.1_ex1_5:156635895-156635918:+_5-1	ITK	376	357
TSGA13_CCDS5824.1_ex1_7:130356595-130356618:-_5-1	TSGA13	426	394
LTF_CCDS33747.1_ex13_3:46497441-46497464:-_5-3	LTF	440	560
sgIDH2_8	IDH2_LS	331	502
NPRL2_CCDS2826.1_ex8_3:50387253-50387276:-_5-5	NPRL2	412	366
DFFA_CCDS118.1_ex4_1:10529249-10529272:-_5-2	DFFA	142	141
KISS1_CCDS41454.1_ex0_1:204159880-204159903:+_5-3	KISS1	168	601
DCLRE1A_CCDS7584.1_ex8_10:115612573-115612596:+_5-5	DCLRE1A	169	173
AVIL_CCDS8959.1_ex15_12:58204843-58204866:-_5-4	AVIL	180	195
ZFP1_CCDS10914.2_ex2_16:75203233-75203256:+_5-4	ZFP1	540	460
CD1E_CCDS41417.1_ex2_1:158325285-158325308:-_24-9	CD1E	487	405
sgADCK1_5	ADCK1_LS	560	448
PFKFB3_CCDS44353.1_ex2_10:6257187-6257210:+_5-1	PFKFB3	396	433
C14orf93_CCDS61399.1_ex4_14:23465310-23465333:+_5-3	C14orf93	857	714
ARSA_CCDS14100.2_ex5_22:51065332-51065355:-_5-2	ARSA	331	410
PTPN13_CCDS47093.1_ex5_4:87622576-87622599:-_5-2	PTPN13	291	289
NUPR1_CCDS10634.1_ex0_16:28549469-28549492:-_7-3	NUPR1	659	540
ZNHIT3_CCDS11312.1_ex2_17:34848711-34848734:+_6-3	ZNHIT3	526	497
TNMD_CCDS14469.1_ex1_X:99840313-99840336:-_5-2	TNMD	353	437
sgRRM2_7	RRM2_LS	33	298
sgPSMD4_9	PSMD4_LS	87	531
INVS_CCDS6746.1_ex2_9:102988368-102988391:+_5-2	INVS	363	406
CNN2_CCDS12053.1_ex1_19:1031141-1031164:+_5-2	CNN2	194	491
sgUSP46_8	USP46_LS	417	409
NSF_CCDS42354.1_ex10_17:44771270-44771293:+_5-5	NSF	0	117
MAP3K9_CCDS32112.1_ex7_14:71209194-71209217:+_5-2	MAP3K9	660	512
KRT222_CCDS11371.1_ex2_17:38813978-38814001:-_5-1	KRT222	188	188
sgLATS2_5	LATS2_LS	387	526
LRRC46_CCDS11518.1_ex6_17:45913747-45913770:-_5-4	LRRC46	634	575
SEC11C_CCDS11970.1_ex2_18:56819822-56819845:+_5-5	SEC11C	0	0
DUT_CCDS32231.1_ex2_15:48626682-48626705:+_7-5	DUT	4	464
MED9_CCDS11184.1_ex0_17:17380451-17380474:-_5-1	MED9	463	673
KRBA2_CCDS11141.1_ex0_17:8273394-8273417:-_5-3	KRBA2	314	312
HEPN1_CCDS41729.1_ex0_11:124789798-124789821:-_5-4	HEPN1	329	373
PLSCR3_CCDS42253.1_ex2_17:7296156-7296179:-_5-1	PLSCR3	513	494
CD79A_CCDS12589.1_ex1_19:42383135-42383158:-_5-2	CD79A	1037	814
PI4K2A_CCDS7469.1_ex0_10:99400899-99400922:-_5-5	PI4K2A	309	448
ANGPTL2_CCDS6868.1_ex3_9:129870742-129870765:+_5-4	ANGPTL2	238	287
ODC1_CCDS1672.1_ex5_2:10583651-10583674:+_5-2	ODC1	249	369
sgSRSF10_3	SRSF10_LS	468	556
NIN_CCDS32078.2_ex24_14:51259540-51259563:-_5-5	NIN	272	336
PPP2R2C_CCDS3388.1_ex6_4:6380220-6380243:+_5-4	PPP2R2C	655	525
sgPHF13_8	PHF13_LS	687	575
COL27A1_CCDS6802.1_ex2_9:116930227-116930250:-_5-1	COL27A1	672	560
sgAXL_5	AXL_LS	417	619
TSPYL5_CCDS34927.1_ex0_8:98289683-98289706:-_5-5	TSPYL5	681	783
ATP5J_CCDS13574.1_ex1_21:27097652-27097675:-_6-3	ATP5J	36	122
COL4A2_CCDS41907.1_ex27_13:111125271-111125294:+_5-5	COL4A2	449	451
LYZ_CCDS8989.1_ex1_12:69743985-69744008:+_5-4	LYZ	670	593
sgNUAK2_7	NUAK2_LS	306	242
HIRA_CCDS13759.1_ex18_22:19384360-19384383:-_5-4	HIRA	349	616
PYGB_CCDS13171.1_ex4_20:25255328-25255351:+_5-4	PYGB	680	774
sgPARP11_2	PARP11_LS	240	251
NLRP5_CCDS12938.1_ex6_19:56538375-56538398:+_5-1	NLRP5	422	395
STAC2_CCDS11335.1_ex8_17:37373411-37373434:-_5-3	STAC2	178	197
MAGEA8_CCDS14692.1_ex0_X:149013362-149013385:-_5-4	MAGEA8	641	473
DNAH9_CCDS11160.1_ex25_17:11608379-11608402:+_10-2	DNAH9	477	644
NCOA4_CCDS44393.1_ex2_10:51580572-51580595:+_5-2	NCOA4	390	544
TMEM66_CCDS6074.1_ex3_8:29927231-29927254:+_6-5	TMEM66	502	492
ZMYM4_CCDS389.1_ex10_1:35851731-35851754:-_5-4	ZMYM4	479	390
PPP4R4_CCDS9921.1_ex0_14:94640906-94640929:-_7-2	PPP4R4	788	667
ZNF175_CCDS12837.1_ex3_19:52090553-52090576:+_5-5	ZNF175	109	121
CCDC174_CCDS2620.2_ex4_3:14703199-14703222:-_5-3	CCDC174	105	284
MORF4L1_CCDS10307.1_ex9_15:79185931-79185954:+_5-4	MORF4L1	254	227
SGPL1_CCDS31216.1_ex4_10:72617365-72617388:+_5-3	SGPL1	904	610
PLP2_CCDS14319.1_ex2_X:49029777-49029800:-_5-5	PLP2	171	223
NBL1_CCDS196.2_ex0_1:19981674-19981697:-_5-4	NBL1	783	627
MSRA_CCDS47798.1_ex2_8:10159095-10159118:+_5-3	MSRA	385	459
C9_CCDS3929.1_ex8_5:39341656-39341679:-_5-3	C9	215	261
CBFA2T3_CCDS10972.1_ex7_16:88958357-88958380:-_5-3	CBFA2T3	513	465
POM121L2_CCDS59497.1_ex0_6:27278913-27278936:+_5-1	POM121L2	705	418
OTP_CCDS4039.1_ex0_5:76926438-76926461:-_5-1	OTP	833	642
SEC61B_CCDS6741.1_ex1_9:101984897-101984920:+_5-1	SEC61B	451	826
GPR18_CCDS9491.1_ex0_13:99907940-99907963:+_5-5	GPR18	212	229
CEP70_CCDS3102.1_ex7_3:138244389-138244412:+_5-3	CEP70	630	715
PLEKHH3_CCDS11434.1_ex5_17:40823538-40823561:+_5-2	PLEKHH3	456	623
ITPA_CCDS13051.1_ex5_20:3199201-3199224:-_5-4	ITPA	317	337
PGD_CCDS113.1_ex4_1:10464291-10464314:-_5-3	PGD	84	493
STRN_CCDS1784.1_ex13_2:37129754-37129777:-_5-3	STRN	309	550
EPPIN-WFDC6_CCDS56195.1_ex2_20:44171356-44171379:+_2-1	EPPIN-WFDC6	636	613
NUPL1_CCDS31949.1_ex1_13:25881998-25882021:+_5-1	NUPL1	332	252
RB1CC1_CCDS34892.1_ex9_8:53570053-53570076:-_5-1	RB1CC1	227	371
CLECL1_CCDS8603.1_ex1_12:9885742-9885765:-_5-5	CLECL1	715	517
SLC44A5_CCDS44164.1_ex10_1:75688051-75688074:-_5-1	SLC44A5	893	653
CDC25A_CCDS2760.1_ex7_3:48218864-48218887:+_5-1	CDC25A	136	276
MAGEA8_CCDS14692.1_ex0_X:149013411-149013434:-_5-5	MAGEA8	199	335
TPBGL_CCDS60895.1_ex0_11:74952284-74952307:-_5-2	TPBGL	1183	911
LSM12_CCDS11475.1_ex2_17:42117544-42117567:-_5-2	LSM12	306	426
USP2_CCDS58189.1_ex8_11:119229937-119229960:+_5-2	USP2	692	585
FSCN2_CCDS45810.1_ex0_17:79496093-79496116:-_5-3	FSCN2	256	492
TIAL1_CCDS31295.1_ex5_10:121338277-121338300:-_5-1	TIAL1	314	353
FANCF_CCDS7857.1_ex0_11:22647022-22647045:-_5-2	FANCF	609	497
ZBTB21_CCDS13678.1_ex0_21:43413809-43413832:+_5-5	ZBTB21	66	129
ICAM4_CCDS12232.1_ex0_19:10397935-10397958:-_5-3	ICAM4	845	806
GALNT7_CCDS3815.1_ex1_4:174169396-174169419:-_5-3	GALNT7	337	291
SORT1_CCDS55618.1_ex11_1:109884740-109884763:+_5-4	SORT1	610	568
TMPRSS11B_CCDS3521.1_ex7_4:69101867-69101890:-_5-5	TMPRSS11B	157	199
TSACC_CCDS1141.1_ex1_1:156314421-156314444:-_5-1	TSACC	146	190
FBXL20_CCDS32640.1_ex11_17:37457246-37457269:+_5-5	FBXL20	289	143
ADSSL1_CCDS9990.1_ex4_14:105206081-105206104:+_5-4	ADSSL1	186	206
DDX6_CCDS44751.1_ex7_11:118635915-118635938:-_5-2	DDX6	66	241
TMEM216_CCDS53640.1_ex1_11:61160787-61160810:+_5-1	TMEM216	21	15
HTR1B_CCDS4986.1_ex0_6:78172883-78172906:+_5-5	HTR1B	829	718
RASEF_CCDS6662.1_ex15_9:85640682-85640705:+_5-1	RASEF	608	504
RTP1_CCDS3287.2_ex1_3:186917375-186917398:-_5-5	RTP1	528	417
DENR_CCDS45003.1_ex4_12:123252059-123252082:+_5-5	DENR	0	0
TDRD12_CCDS46038.1_ex5_19:33240678-33240701:+_5-5	TDRD12	368	284
APOLD1_CCDS44833.1_ex1_12:12940219-12940242:-_5-3	APOLD1	272	394
CBWD1_CCDS47947.1_ex10_9:172153-172176:+_3-2	CBWD1	443	629
CXorf40A_CCDS14687.1_ex0_X:148627338-148627361:+_5-4	CXorf40A	59	489
SAAL1_CCDS31439.1_ex10_11:18124784-18124807:-_5-5	SAAL1	175	315
FPR3_CCDS12841.1_ex0_19:52327494-52327517:+_5-4	FPR3	0	14
UBE2H_CCDS47710.1_ex2_7:129519459-129519482:-_5-5	UBE2H	385	505
TRIB3_CCDS12997.1_ex1_20:372034-372057:-_5-4	TRIB3	519	550
FITM2_CCDS33473.1_ex0_20:42935743-42935766:+_5-2	FITM2	390	553
PI4KB_CCDS55637.1_ex8_1:151280075-151280098:-_5-5	PI4KB	397	554
SDHC_CCDS1230.1_ex5_1:161332115-161332138:+_13-11	SDHC	141	437
GATA3_CCDS31143.1_ex1_10:8100489-8100512:-_5-5	GATA3	760	661
XYLB_CCDS2678.1_ex2_3:38401878-38401901:-_5-1	XYLB	524	472
OTUD4_CCDS3764.1_ex2_4:146085318-146085341:+_7-4	OTUD4	63	91
SMS_CCDS14203.1_ex4_X:21995176-21995199:+_5-2	SMS	587	733
GLP2R_CCDS11150.1_ex1_17:9737133-9737156:-_5-1	GLP2R	406	400
sgCTCF_1	CTCF_LS	40	389
CST1_CCDS13160.1_ex2_20:23731296-23731319:-_5-3	CST1	661	784
DHX33_CCDS11072.1_ex9_17:5365719-5365742:-_5-2	DHX33	146	299
RARG_CCDS41790.1_ex4_12:53608238-53608261:+_5-3	RARG	589	563
ZNF407_CCDS45885.1_ex0_18:72344878-72344901:-_5-5	ZNF407	49	336
RBCK1_CCDS12998.1_ex4_20:400216-400239:-_5-2	RBCK1	613	453
KIAA1279_CCDS7284.1_ex0_10:70748844-70748867:+_5-2	KIAA1279	41	223
PADI4_CCDS180.1_ex7_1:17668871-17668894:-_5-5	PADI4	788	797
PCGF2_CCDS32638.1_ex4_17:36895093-36895116:-_5-2	PCGF2	523	498
CHI3L1_CCDS1435.1_ex5_1:203152759-203152782:+_5-3	CHI3L1	525	468
C1orf112_CCDS1285.1_ex9_1:169796906-169796929:+_5-5	C1orf112	773	641
HIST1H2BK_CCDS4621.1_ex0_6:27114388-27114411:+_4-1	HIST1H2BK	458	408
NLRC5_CCDS10773.1_ex3_16:57059433-57059456:+_5-3	NLRC5	338	457
PEX16_CCDS31472.1_ex5_11:45936172-45936195:-_5-1	PEX16	583	470
CATSPERG_CCDS12514.2_ex12_19:38850174-38850197:-_5-5	CATSPERG	494	546
KIF2C_CCDS512.1_ex5_1:45218912-45218935:-_5-3	KIF2C	443	397
PRSS54_CCDS32463.1_ex2_16:58319966-58319989:+_5-4	PRSS54	541	583
TRIM21_CCDS44525.1_ex0_11:4406945-4406968:-_5-1	TRIM21	486	456
EXTL1_CCDS271.1_ex0_1:26349486-26349509:-_5-2	EXTL1	219	317
sgRUVBL1_6	RUVBL1_LS	33	242
CDH23_CCDS44429.1_ex7_10:73337665-73337688:-_10-5	CDH23	650	689
C1orf100_CCDS31079.1_ex2_1:244541919-244541942:+_6-6	C1orf100	241	240
HAGH_CCDS10447.2_ex6_16:1872339-1872362:-_5-5	HAGH	102	68
C16orf11_CCDS45365.1_ex0_16:613723-613746:+_5-4	C16orf11	342	405
GSTCD_CCDS3672.2_ex1_4:106640543-106640566:-_5-4	GSTCD	509	734
MS4A8_CCDS7990.1_ex1_11:60470885-60470908:-_5-4	MS4A8	880	802
NOC2L_CCDS3.1_ex16_1:892636-892659:+_5-4	NOC2L	320	796
BRWD1_CCDS13662.1_ex40_21:40685188-40685211:-_5-5	BRWD1	441	598
POU5F1B_CCDS55274.1_ex0_8:128428359-128428382:+_5-3	POU5F1B	235	422
SPATA9_CCDS4076.1_ex2_5:95011136-95011159:-_5-2	SPATA9	637	643
PRR5_CCDS14058.1_ex3_22:45122485-45122508:-_5-1	PRR5	359	463
ELAVL4_CCDS44138.1_ex3_1:50659526-50659549:+_5-3	ELAVL4	381	375
BSND_CCDS602.1_ex2_1:55472847-55472870:-_5-3	BSND	419	479
sgMBD4_4	MBD4_LS	441	474
FOLH1_CCDS31493.1_ex15_11:49221883-49221906:+_11-8	FOLH1	307	392
SLC7A4_CCDS33608.1_ex3_22:21385869-21385892:-_5-4	SLC7A4	605	650
AMPD2_CCDS30796.1_ex5_1:110170118-110170141:-_5-5	AMPD2	290	257
TNR_CCDS1318.1_ex16_1:175360520-175360543:+_5-3	TNR	304	401
BHLHE40_CCDS2565.1_ex4_3:5024750-5024773:-_5-5	BHLHE40	695	532
POTEJ_CCDS59432.1_ex12_2:131403734-131403757:+_4-4	POTEJ	146	418
GJD3_CCDS58547.1_ex0_17:38519781-38519804:+_5-5	GJD3	491	531
NLGN4X_CCDS14126.1_ex4_X:6069240-6069263:+_5-3	NLGN4X	636	414
SDCBP2_CCDS13013.1_ex2_20:1293087-1293110:+_5-1	SDCBP2	620	586
KIAA0232_CCDS43209.1_ex4_4:6863826-6863849:-_5-5	KIAA0232	324	345
SPRR3_CCDS1033.1_ex0_1:152975733-152975756:-_5-4	SPRR3	581	560
CTRL00070	NON-TARGETING	370	311
TCAIM_CCDS2712.1_ex2_3:44402994-44403017:-_7-4	TCAIM	209	241
DHRS7C_CCDS56020.1_ex3_17:9683278-9683301:+_5-5	DHRS7C	511	476
FOLR2_CCDS8212.1_ex0_11:71929761-71929784:+_5-2	FOLR2	397	447
SDC1_CCDS1697.1_ex2_2:20403994-20404017:+_5-5	SDC1	756	555
HIPK1_CCDS41370.1_ex5_1:114500848-114500871:-_5-4	HIPK1	376	524
FAM178B_CCDS33252.1_ex2_2:97544141-97544164:+_10-3	FAM178B	582	547
IFT122_CCDS3059.1_ex8_3:129195312-129195335:+_5-1	IFT122	373	431
C19orf80_CCDS54220.1_ex0_19:11350576-11350599:-_5-4	C19orf80	420	511
DAAM2_CCDS54999.1_ex6_6:39838129-39838152:-_5-4	DAAM2	343	349
DPH5_CCDS41358.1_ex1_1:101458251-101458274:+_5-1	DPH5	249	271
