"sgRNA","gene","plasmid","HT29_c905","HT29_c906","HT29_c907","HT29_c908","SW626_c905"
"AACS_CCDS9263.1_ex7_12:125591776-125591799:-_5-4","AACS",530,698.555555555556,727,610.666666666667,561.833333333333,534
"AACS_CCDS9263.1_ex8_12:125599087-125599110:-_5-5","AACS",491,446,506.833333333333,519,667.333333333333,377.333333333333
"AADAC_CCDS33877.1_ex1_3:151535152-151535175:+_5-1","AADAC",390,341.111111111111,538.5,237.333333333333,318.5,386
"AADAC_CCDS33877.1_ex1_3:151535307-151535330:+_5-2","AADAC",228,248.777777777778,352.833333333333,233.333333333333,228.666666666667,294
"AADAC_CCDS33877.1_ex1_3:151535327-151535350:+_5-3","AADAC",248,335.444444444444,375,351.666666666667,186.333333333333,413
"AADAC_CCDS33877.1_ex4_3:151545476-151545499:+_5-4","AADAC",107,128.555555555556,145.166666666667,133.333333333333,96.8333333333333,151.333333333333
"AADAC_CCDS33877.1_ex4_3:151545547-151545570:-_5-5","AADAC",352,512.222222222222,560,459.666666666667,444.333333333333,360.333333333333
"AADACL2_CCDS3161.2_ex0_3:151451944-151451967:+_5-1","AADACL2",90,110.333333333333,126.333333333333,61.6666666666667,74,124
"AADACL2_CCDS3161.2_ex1_3:151458562-151458585:-_5-2","AADACL2",241,182.777777777778,227.333333333333,208.333333333333,209.333333333333,177.666666666667
"AADACL2_CCDS3161.2_ex2_3:151461893-151461916:+_5-3","AADACL2",198,226.333333333333,195,161.666666666667,150.666666666667,127.333333333333
"AADACL2_CCDS3161.2_ex3_3:151463402-151463425:-_5-4","AADACL2",411,539.666666666667,699.333333333333,406.333333333333,429.166666666667,291.666666666667
"AADACL2_CCDS3161.2_ex3_3:151463446-151463469:+_5-5","AADACL2",314,360,442.833333333333,310.666666666667,423,225.666666666667
"AADACL3_CCDS41252.1_ex2_1:12785258-12785281:+_5-1","AADACL3",239,370.777777777778,342.833333333333,299.666666666667,437.5,429
"AADACL3_CCDS41252.1_ex2_1:12785334-12785357:-_5-2","AADACL3",315,336.333333333333,319.333333333333,283.666666666667,222.5,299
"AADACL3_CCDS41252.1_ex2_1:12785358-12785381:+_5-3","AADACL3",451,528.777777777778,574.5,321,409.666666666667,513.333333333333
"AADACL3_CCDS41252.1_ex2_1:12785419-12785442:-_5-4","AADACL3",238,255.888888888889,309.666666666667,243.333333333333,132.833333333333,313.666666666667
"AADACL3_CCDS41252.1_ex2_1:12785608-12785631:+_5-5","AADACL3",207,317.111111111111,329,264.666666666667,194.166666666667,267.666666666667
"AADACL4_CCDS30590.1_ex0_1:12704714-12704737:-_5-1","AADACL4",403,677.222222222222,799.166666666667,640.333333333333,688.333333333333,597.666666666667
"AADACL4_CCDS30590.1_ex1_1:12711250-12711273:+_5-2","AADACL4",401,377.666666666667,470.333333333333,320.333333333333,384.833333333333,298.333333333333
"AADACL4_CCDS30590.1_ex1_1:12711326-12711349:-_5-3","AADACL4",437,501.111111111111,549.666666666667,374.666666666667,403.5,463.333333333333
