"sgRNA","gene","logFC","logCPM","LR","PValue","FDR"
"SAE1_CCDS12696.1_ex1_19:47646766-47646789:+_6-3","SAE1",-1.98376744455536,2.65456343178242,12.3103191632485,0.000450460940310729,0.00654150737829339
"FAM96B_CCDS45506.1_ex2_16:66967551-66967574:-_5-2","FAM96B",-1.12509152430334,2.20098828323756,12.3083271429892,0.000450941947082691,0.00654754683569928
"sgPSMD13_6","PSMD13_LS",-1.58858816557457,1.95988333335648,12.3068560822556,0.000451297492086767,0.00655176314349297
"SIGLEC11_CCDS12790.2_ex8_19:50463508-50463531:+_5-4","SIGLEC11",-0.820698838855618,3.34049592852207,12.3063033451476,0.000451431157847506,0.00655244825993499
"sgPTK2_2","PTK2_LS",-1.31768610364281,2.28266095749662,12.3059237710315,0.000451522971568958,0.00655244825993499
"sgTAF8_2","TAF8_LS",-1.35402231729405,2.03751973448525,12.3058526191568,0.000451540184318984,0.00655244825993499
"HIST2H2AA3_CCDS934.1_ex0_1:149814130-149814153:-_5-4","HIST2H2AA3",-0.77225392392344,2.9673330818182,12.302907276366,0.000452253290064027,0.00656184935968944
"SYS1_CCDS13351.1_ex0_20:43992316-43992339:+_7-5","SYS1",-1.70939953369161,2.7322119033929,12.3012937909503,0.000452644417516432,0.00656657676191887
"RPS8_CCDS513.1_ex3_1:45243453-45243476:-_5-5","RPS8",-2.63120017298356,0.947263864980555,12.2999317168983,0.00045297486564799,0.00657042264368721
"GTF3C1_CCDS32414.1_ex25_16:27512577-27512600:+_5-2","GTF3C1",-1.37456564367996,2.3316742697168,12.2993876842738,0.0004531069195672,0.00657139011330772
"sgHNRNPA1L2_9","HNRNPA1L2_LS",-1.70640050440123,1.24531159515771,12.2971725281463,0.000453645009231008,0.00657824517351725
"C1orf109_CCDS423.1_ex3_1:38155284-38155307:-_5-3","C1orf109",-1.50827777209633,1.97496835628901,12.2941031717105,0.00045439166095905,0.00658812215108458
"MCTS1_CCDS14601.1_ex3_X:119742081-119742104:-_5-5","MCTS1",-1.29937915073028,1.82139678372776,12.2936392981457,0.000454504610674535,0.00658880970281341
"sgINTS7_10","INTS7_LS",-1.26545313191121,1.64889510927027,12.2916907412579,0.000454979379133536,0.00659474147217788
"C19orf48_CCDS12803.1_ex0_19:51301552-51301575:-_5-4","C19orf48",-0.819250655288139,2.76552056446827,12.2913144890171,0.000455071111118803,0.00659512037357804
"sgASH2L_8","ASH2L_LS",-1.85017763069495,1.61318730795168,12.2860880672167,0.000456347268091233,0.00661266197713005
